InputID,TargetID,Distance
"507920","528",286.673776076229558
"507950","845",811.058871499261386
"507953","655",949.973658026277235
"507962","855",1048.825422229471314
"507964","195",662.103622844940332
"507968","226",920.311579729067830
"507973","226",999.864212675039994
"507980","226",444.070341380382445
"507984","81",569.549111103896280
"508283","643",1381.642310963670980
"508608","888",1769.379347546976760
"508944","739",1376.089198427825977
"508948","739",598.793538103068499
"508949","739",563.407287563094428
"510553","249",251.480425178607817
"510570","105",110.596044823999677
"510587","144",1028.773749141871349
"510595","69",927.646460723495011
"510605","222",1548.229877299181680
"510610","103",705.297484186234328
"510620","67",939.320754747322894
"12335","845",1743.056109267023430
"12358","787",254.438466740777528
"510622","165",363.283074859023884
"507615","321",958.218848236582858
"507671","620",801.262720092238737
"511456","354",92.155758990165936
"511481","340",347.897054669873626
"511482","98",1027.795690451224118
"511485","218",1635.934162787928472
"511931","383",575.401437583442089
"511936","630",1400.753074736494909
"512252","727",573.081437984730542
"513499","564",148.559705512038789
"513515","578",283.997069025409985
"513933","84",823.000178762272526
"513936","93",105.784187206914567
"7554","347",1207.187048653603370
"520454","170",773.088755487789740
"526231","486",223.011779433634018
"527676","117",216.281898908756261
"512271","333",513.732322032682760
"512272","333",693.184241973965527
"15298","69",949.481746856637642
"15316","54",429.983742659826703
"15318","150",583.369796489954524
"18864","11",1038.312031656957288
"20002","874",1429.421396092825489
"512273","333",186.953536221114092
"527052","597",250.099676194613096
"7546","208",66.443850003630956
"7549","347",607.703900721637638
"9916","486",219.084746971569587
"528762","93",638.544881718703778
"529139","84",1301.558643442401035
"21525","203",1330.510096434609295
"22215","330",1507.952598182994279
"26288","570",1122.040755130684829
"26297","241",390.266997344216463
"28127","313",854.880881526939220
"28133","170",419.248982248870618
ALM01025,"701",183.145834033507782
ALM01078,"615",1721.000544276988194
ALM01080,"745",2126.985595294682753
ALM01081,"654",397.866584308020776
ALM01090,"679",540.632355163219358
ALM01092,"673",108.857780568362941
ALM01082,"615",902.982722587420653
ALM01076,"670",1382.109932610427677
ALM01077,"745",1868.043561275333104
ALM01093,"732",438.295774205695295
BOR01032,"486",294.296209897042729
BOR01001,"486",239.652251491023094
DNK01031,"771",971.522334264041774
DNK01017,"916",1859.766413033055642
"333490","9",328.840239714944687
"34143","263",313.890680452690276
"34144","263",457.139657544787781
ENS01027,"229",843.044122002236008
ENS01029,"76",565.560936041067862
ENS01047,"286",842.649499929432181
ENS01005,"211",1146.802831165614180
ENS01085,"92",673.818668090589313
ENS01071,"942",249.764934008069019
ENS01081,"222",231.283480619261979
ENS01155,"64",365.859867783957895
ENS01161,"92",593.360855426310422
HKB01039,"17",1021.319914381444278
HKB01003,"11",400.152059270812572
HKB01004,"11",1190.456052418805029
HKB01023,"23",113.484265179628736
HKB01006,"16",3463.354437976682675
HGL01068,"117",585.324316661801845
HGL01022,"203",546.768806877730867
HOF01001,"319",255.596402384332322
HOF01022,"81",88.381982488805974
HOF01023,"100",521.010068941373788
HOF01043,"198",140.797354745674710
HOF01031,"198",127.022748422264755
TUB01009,"845",2294.611444001067866
"38906","459",223.123714755888500
"46769","824",1205.224940301316110
TUB01019,"791",1364.011711981088183
TUB01010,"845",1089.256669988089698
TUB01011,"845",858.361563324227404
TUB01012,"725",914.485661749937321
TUB01013,"745",422.860145985302040
TUB01014,"961",2766.058196913382289
VZV01003,"959",550.145320189147583
VZV01004,"959",731.792336657622059
VZV01005,"961",684.217173600521051
VZV01006,"828",218.178853763417493
VZV01018,"959",454.110802313595002
VZV01019,"961",812.543228030047544
VZV01020,"961",503.089264522253927
VZV01024,"861",1000.879649256163475
WDN01023,"459",227.160081258323942
"46926","845",1073.460092271218855
"47011","599",422.652145442601409
"47013","457",1297.558504750522616
"480693","164",684.525182169025356
"507476","836",96.621734673746346
"507480","871",1470.539544051578332
"507489","263",152.971528834841621
"507502","310",183.142908154298681
"507506","318",360.335929718965076
"507619","429",1590.244577277875123
"507623","319",918.503779949565001
"507706","682",48.300441274528801
"507711","620",483.737333915858073
"507716","701",338.916850220780020
"507739","50",757.970388115603328
"507743","998",509.961979061839486
"507786","331",1162.744408418095645
"507790","413",1401.674226973410669
"507796","429",1480.258452040957081
"507799","438",1145.603029638500402
"507802","319",582.128931277203606
"507805","290",1959.459395010779645
"507807","213",498.160049029958259
"507809","442",946.065706604035995
"507913","505",207.356309566479041
